,Date,Hour,Temp,SMP,Is_Holiday,Is_Vac,Is_Weekend,Is_Cold,Is_HW
121,2019-07-03,12:30:00,28.93,195.36,0,1,0,0,0
122,2019-07-03,13:00:00,29.01,195.45,0,1,0,0,0
123,2019-07-03,13:30:00,29.23,197.74,0,1,0,0,0
124,2019-07-03,14:00:00,29.03,208.11,0,1,0,0,0
125,2019-07-03,14:30:00,29.01,207.61,0,1,0,0,0
126,2019-07-03,15:00:00,28.97,208.73,0,1,0,0,0
127,2019-07-03,15:30:00,28.77,209.05,0,1,0,0,0
128,2019-07-03,16:00:00,28.63,207.03,0,1,0,0,0
129,2019-07-03,16:30:00,28.17,207.6,0,1,0,0,0
130,2019-07-03,17:00:00,27.71,208.0,0,1,0,0,0
131,2019-07-03,17:30:00,27.21,206.29,0,1,0,0,0
132,2019-07-03,18:00:00,26.64,206.82,0,1,0,0,0
133,2019-07-03,18:30:00,25.96,199.47,0,1,0,0,0
134,2019-07-03,19:00:00,25.21,197.16,0,1,0,0,0
135,2019-07-03,19:30:00,24.7,197.13,0,1,0,0,0
136,2019-07-03,20:00:00,24.39,198.48,0,1,0,0,0
137,2019-07-03,20:30:00,24.04,197.57,0,1,0,0,0
138,2019-07-03,21:00:00,23.83,128.78,0,1,0,0,0
139,2019-07-03,21:30:00,23.66,128.57,0,1,0,0,0
140,2019-07-03,22:00:00,23.6,128.6,0,1,0,0,0
141,2019-07-03,22:30:00,23.41,215.02,0,1,0,0,0
142,2019-07-03,23:00:00,23.27,208.16,0,1,0,0,0
143,2019-07-03,23:30:00,23.09,168.62,0,1,0,0,0
144,2019-07-04,00:00:00,22.99,128.32,0,1,0,0,0
145,2019-07-04,00:30:00,22.89,128.22,0,1,0,0,0
146,2019-07-04,01:00:00,22.77,128.24,0,1,0,0,0
147,2019-07-04,01:30:00,22.6,128.28,0,1,0,0,0
148,2019-07-04,02:00:00,22.54,128.33,0,1,0,0,0
149,2019-07-04,02:30:00,22.31,128.36,0,1,0,0,0
150,2019-07-04,03:00:00,21.99,128.41,0,1,0,0,0
151,2019-07-04,03:30:00,21.74,128.28,0,1,0,0,0
152,2019-07-04,04:00:00,21.49,128.24,0,1,0,0,0
153,2019-07-04,04:30:00,21.39,128.34,0,1,0,0,0
154,2019-07-04,05:00:00,21.36,128.24,0,1,0,0,0
155,2019-07-04,05:30:00,21.64,128.21,0,1,0,0,0
156,2019-07-04,06:00:00,22.46,128.06,0,1,0,0,0
157,2019-07-04,06:30:00,23.46,128.12,0,1,0,0,0
158,2019-07-04,07:00:00,24.39,127.94,0,1,0,0,0
159,2019-07-04,07:30:00,25.2,128.1,0,1,0,0,0
160,2019-07-04,08:00:00,25.94,127.78,0,1,0,0,0
161,2019-07-04,08:30:00,26.84,127.7,0,1,0,0,0
162,2019-07-04,09:00:00,27.63,127.73,0,1,0,0,0
163,2019-07-04,09:30:00,28.26,127.98,0,1,0,0,0
164,2019-07-04,10:00:00,28.66,127.59,0,1,0,0,0
165,2019-07-04,10:30:00,28.86,127.45,0,1,0,0,0
166,2019-07-04,11:00:00,29.29,127.78,0,1,0,0,0
167,2019-07-04,11:30:00,29.44,127.8,0,1,0,0,0
168,2019-07-04,12:00:00,29.49,152.43,0,1,0,0,0
169,2019-07-04,12:30:00,30.03,127.73,0,1,0,0,0
170,2019-07-04,13:00:00,30.21,195.36,0,1,0,0,0
171,2019-07-04,13:30:00,30.11,194.17,0,1,0,0,0
172,2019-07-04,14:00:00,30.07,193.42,0,1,0,0,0
173,2019-07-04,14:30:00,29.67,195.22,0,1,0,0,0
174,2019-07-04,15:00:00,29.56,195.73,0,1,0,0,0
175,2019-07-04,15:30:00,29.11,195.88,0,1,0,0,0
176,2019-07-04,16:00:00,28.91,194.52,0,1,0,0,0
177,2019-07-04,16:30:00,28.51,195.44,0,1,0,0,0
178,2019-07-04,17:00:00,28.03,196.08,0,1,0,0,0
179,2019-07-04,17:30:00,27.33,194.42,0,1,0,0,0
180,2019-07-04,18:00:00,26.64,193.2,0,1,0,0,0
181,2019-07-04,18:30:00,25.81,141.51,0,1,0,0,0
182,2019-07-04,19:00:00,25.06,143.2,0,1,0,0,0
183,2019-07-04,19:30:00,24.6,172.19,0,1,0,0,0
184,2019-07-04,20:00:00,24.31,204.69,0,1,0,0,0
185,2019-07-04,20:30:00,24.01,141.27,0,1,0,0,0
186,2019-07-04,21:00:00,23.71,196.6,0,1,0,0,0
187,2019-07-04,21:30:00,23.4,128.46,0,1,0,0,0
188,2019-07-04,22:00:00,23.14,128.6,0,1,0,0,0
189,2019-07-04,22:30:00,22.97,168.6,0,1,0,0,0
190,2019-07-04,23:00:00,22.8,167.67,0,1,0,0,0
191,2019-07-04,23:30:00,22.57,129.11,0,1,0,0,0
192,2019-07-05,00:00:00,22.47,192.31,0,1,1,0,0
193,2019-07-05,00:30:00,22.33,196.81,0,1,1,0,0
194,2019-07-05,01:00:00,22.1,196.81,0,1,1,0,0
195,2019-07-05,01:30:00,21.9,196.81,0,1,1,0,0
196,2019-07-05,02:00:00,21.67,128.59,0,1,1,0,0
197,2019-07-05,02:30:00,21.47,128.82,0,1,1,0,0
